state,date,monthly cases,total cases,normalized total cases
Alabama,1,0.0,172626.0,0.02123919544855752
Alabama,2,0.0,172626.0,0.02123919544855752
Alabama,3,999.0,172626.0,0.02123919544855752
Alabama,4,6069.0,172626.0,0.02123919544855752
Alabama,5,10884.0,172626.0,0.02123919544855752
Alabama,6,20093.0,172626.0,0.02123919544855752
Alabama,7,49678.0,172626.0,0.02123919544855752
Alabama,8,38335.0,172626.0,0.02123919544855752
Alabama,9,28643.0,172626.0,0.02123919544855752
Alabama,10,17925.0,172626.0,0.02123919544855752
Alaska,1,0.0,11934.0,0.0014683104427090094
Alaska,2,0.0,11934.0,0.0014683104427090094
Alaska,3,133.0,11934.0,0.0014683104427090094
Alaska,4,220.0,11934.0,0.0014683104427090094
Alaska,5,116.0,11934.0,0.0014683104427090094
Alaska,6,663.0,11934.0,0.0014683104427090094
Alaska,7,2543.0,11934.0,0.0014683104427090094
Alaska,8,2400.0,11934.0,0.0014683104427090094
Alaska,9,2632.0,11934.0,0.0014683104427090094
Alaska,10,3227.0,11934.0,0.0014683104427090094
Arizona,1,1.0,231149.0,0.028439625483638747
Arizona,2,0.0,231149.0,0.028439625483638747
Arizona,3,1297.0,231149.0,0.028439625483638747
Arizona,4,6350.0,231149.0,0.028439625483638747
Arizona,5,12288.0,231149.0,0.028439625483638747
Arizona,6,59463.0,231149.0,0.028439625483638747
Arizona,7,94709.0,231149.0,0.028439625483638747
Arizona,8,27758.0,231149.0,0.028439625483638747
Arizona,9,16645.0,231149.0,0.028439625483638747
Arizona,10,12638.0,231149.0,0.028439625483638747
Arkansas,1,0.0,99066.0,0.01218867456991878
Arkansas,2,0.0,99066.0,0.01218867456991878
Arkansas,3,564.0,99066.0,0.01218867456991878
Arkansas,4,2717.0,99066.0,0.01218867456991878
Arkansas,5,3972.0,99066.0,0.01218867456991878
Arkansas,6,13524.0,99066.0,0.01218867456991878
Arkansas,7,21734.0,99066.0,0.01218867456991878
Arkansas,8,18713.0,99066.0,0.01218867456991878
Arkansas,9,22473.0,99066.0,0.01218867456991878
Arkansas,10,15369.0,99066.0,0.01218867456991878
California,1,3.0,878346.0,0.10806809151262674
California,2,25.0,878346.0,0.10806809151262674
California,3,8555.0,878346.0,0.10806809151262674
California,4,41887.0,878346.0,0.10806809151262674
